URL,Size(byte),# of Outlinks,Content Type
https://www.latimes.com/espanol/mexico/articulo/2024-02-12/mexico-incauta-40-toneladas-de-metanfetamina-de-un-laboratorio-de-drogas-en-el-estado-de-sonora,243626,111,text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2024-02-14/marvel-prepara-sus-cuatro-fantasticos-pedro-pascal-y-vanessa-kirby-entre-las-estrellas-que-se-visten,248573,119,text/html
https://www.latimes.com/specialsupplements/story/2023-12-30/mine-and-drive-vms-groundbreaking-tech-allows-commuters-to-make-bitcoin-while-on-the-road,265138,194,text/html
https://www.latimes.com/entertainment-arts/movies/story/2021-08-20/outfest-trans-nonbinary-summit-2021-elliot-page,331169,231,text/html
https://www.latimes.com/bestcovery/fashion,120699,58,text/html
https://www.latimes.com/travel/list/elysian-valley-frogtown-guide-things-to-do,539451,293,text/html
https://www.latimes.com/travel,459436,263,text/html
https://www.latimes.com/entertainment-arts/business/story/2024-02-09/talent-agency-a3-to-shut-down-on-monday,323608,223,text/html
https://www.latimes.com/bestcovery/best-gel-pen,97232,48,text/html
https://www.latimes.com/espanol/eeuu/articulo/2024-02-14/reportan-al-menos-8-heridos-tras-tiroteo-cerca-de-celebracion-de-los-kansas-city-chiefs,263970,115,text/html
https://www.latimes.com/espanol/eeuu/articulo/2024-02-11/la-mayoria-de-los-estadounidenses-creen-que-pagan-demasiados-impuestos-dice-encuesta-de-ap-norc,253451,111,text/html
https://www.latimes.com/california/story/2024-02-14/firefighters-launch-campaign-against-measure-hla,334617,227,text/html
https://www.latimes.com/b2bpublishing/story/2024-02-02/shop-the-sams-club-february-doorbusters-sale,277533,207,text/html
https://www.latimes.com/entertainment-arts/awards/story/2021-03-17/screenwriters-in-their-own-words-essays-on-writing-scripts,376969,255,text/html
https://www.latimes.com/world-nation/story/2024-01-30/president-biden-has-said-hed-shut-the-us-mexico-border-if-given-the-ability-what-does-that-mean,320620,224,text/html
https://www.latimes.com/opinion/letters-to-the-editor/hear-me-out,495043,275,text/html
https://www.latimes.com/california/story/2024-01-26/record-number-of-californians-visiting-emergency-rooms-for-dog-bites-since-pandemic,346363,254,text/html
https://www.latimes.com/california/story/2023-12-28/california-pays-out-record-amount-to-boxers-owed-pensions,353476,229,text/html
https://www.latimes.com/entertainment-arts/music,389086,231,text/html
https://www.latimes.com/world-nation/story/2024-02-12/egypt-is-threatening-to-void-its-decades-old-peace-treaty-with-israel-what-does-that-mean,326355,218,text/html
https://www.latimes.com/california/story/2024-02-05/ucla-expands-ethnic-studies-amid-fraught-politics,351674,228,text/html
https://www.latimes.com/business/autos,389787,226,text/html
https://www.latimes.com/world-nation/story/2024-02-14/displaced-palestinians-leave-one-of-gazas-main-hospitals-after-weeks-of-being-isolated-by-fighting,351395,226,text/html
https://www.latimes.com/california/story/2024-02-05/photos-powerful-atmospheric-river-storm-pummels-california,380771,221,text/html
https://www.latimes.com/travel/list/arts-district-downtown-los-angeles-guide-things-to-do,569377,298,text/html
https://www.latimes.com/california/story/2024-01-31/to-prevent-opioid-overdoses-california-bill-would-require-naloxone-in-workplace-first-aid-kits,347124,240,text/html
https://www.latimes.com/opinion/letters-to-the-editor/story/2024-02-12/gaza-protesters-fbi-ugly-history-of-infiltrating-antiwar-groups,305943,214,text/html
